Committee ID,Committee Name,Org type,Smaller Categories,Larger Categories,source,Connected Organization,country of origin
C00002790,OLIN CORPORATION GOOD GOVERNMENT FUND,C,,Chemicals,https://finance.yahoo.com/quote/OLN/profile?p=OLN,OLIN CORPORATION,
C00004952,ELECTRIC COOPERATIVES OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION,C,Electric Utility,Fossil Fuels,https://ecm.coop/,ELECTRIC COOPERATIVES OF MISSISSIPPI,
C00007070,TEXAS INSTRUMENTS INCORPORATED POLITICAL ACTION COMMITTEE (TI PAC),C,,Big Tech,https://finance.yahoo.com/quote/TXN/profile?p=TXN,TEXAS INSTRUMENTS INCORPORATED,
C00007948,WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE,C,Timber,Mining ,https://www.weyerhaeuser.com/company/,WEYERHAEUSER COMPANY,
C00008151,FIRST HORIZON CORPORATION FEDERAL PAC,C,,Banking,https://finance.yahoo.com/quote/FHN?p=FHN,FIRST HORIZON CORPORATION,
C00008474,CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL (CITIGROUP PAC-FEDERAL),C,,Banking ,,CITIGROUP INC.,
C00008748,SEMPRA ENERGY EMPLOYEES POLITICAL ACTION COMMITTEE- FEDERAL,C,Electric Utility,Fossil Fuels,https://www.sempra.com/about-us/our-companies,,
C00009282,NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND,C,Railroads,Travel & Leisure,https://finance.yahoo.com/quote/NSC/profile?p=NSC,NORFOLK SOUTHERN CORPORATION,
C00009639,TRUIST FINANCIAL CORPORATION FEDERAL STATE & LOCAL POLITICAL ACTION COMMITTEE (FORMERLY SUNTRUST BANKS INC. MAIN STREET BANKERS PAC),C,,Banking ,https://finance.yahoo.com/quote/TFC/profile?p=TFC,TRUIST FINANCIAL CORPORATION,
C00010470,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT,C,Railroads,Travel & Leisure,https://finance.yahoo.com/quote/UNP/profile?p=UNP,UNION PACIFIC CORPORATION,
C00010983,JOHNSON & JOHNSON POLITICAL ACTION COMMITTEE,C,Pharmaceutical,Health Care,https://www.jnj.com/healthcare-products/prescription,,
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),C,,Banking,https://finance.yahoo.com/quote/UBS/profile?p=UBS,UBS AMERICAS INC.,
C00012468,THE COCA-COLA COMPANY NONPARTISAN COMMITTEE FOR GOOD GOVERNMENT,C,,Food & Beverage,https://finance.yahoo.com/quote/KO/profile?p=KO,THE COCA-COLA COMPANY,
C00014878,GENERAL AVIATION MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE,C,Airline,Travel & Leisure,,,
C00015933,PINNACLE WEST CAPITAL CORPORATION PAC,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/PNW/profile?p=PNW,,
C00016683,PFIZER INC. PAC,C,Pharmaceutical,Health Care,https://www.pfizer.com/,PFIZER INC.,
C00017558,BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC,C,,Banking,,THE BANK OF NEW YORK MELLON CORPORATION,
