Committee ID,Short Name,Official LPAC Name,"PAC Sponsor, District",UPDATED 9/20/24
C00628669,,1848 PAC,Glenn Grothman (WI-06),
C00799809,,1890 PAC,Harriet Hageman (WY-At Large),
C00786368,,31 DAYS PAC,John Ellzey (TX-06),
C00631051,,Abraham Lincoln PAC,Darin LaHood (IL-16),
C00821959,,All American PAC,Keith Self (TX-03),
C00809756,,America Forever,"Francis Suarez (Republican presidental candidate, donated to Valadao and D'Esposito) ",
C00686816,,America Reloaded,Daniel Crenshaw (TX-02),
C00524314,,America's First PAC,Rob Wittman (VA-01),
C00756551,,American Grit PAC,Kat Cammack (FL-03),
C00639229,,American Revival PAC,Mike Johnson (LA-04),
C00439521,,American Security PAC,Michael Rogers (AL-03),
C00641142,ALEX PAC,Americans for Legislating Excellence PAC,Alex Mooney (WV-02),
C00531764,,Ann PAC,Ann Wagner (MO-02),
C00770297,,Baker PAC,Andrew Garbarino (NY-02),
C00824938,,Be An American PAC,Aaron Bean (FL-04),
C00762930,,Be Victorious Over Democrats PAC,Beth Van Duyne (TX-24),
C00545079,BILL's PAC,Belief in Life and Liberty Political Action Committee (BILL's PAC),Bill Johnson (OH-06),
C00765644,BICE PAC,Big Ideas Create Excellence PAC – BICE PAC,Stephanie Bice (OK-05),
C00542027,,Big Sky Opportunity PAC,Steve Daines (MT-01),
C00647420,BACON PAC,Bold Active Conservatives Of Nebraska PAC - BACON PAC,Don Bacon (NE-02),
C00820209,,Bootstrap Priorities PAC,Russell Fry (SC-07),
C00816009,,BOPAC,Bo Hines ,
C00483487,BRETTPAC,BRETTPAC – The Leadership PAC Of US Representative Brett Guthrie,Brett Guthrie (KY-02),
C00572271,BARR PAC,Building America's Republican Representation PAC,Andy Barr (KY-06),
C00590356,,Building And Restoring The American Dream Fund,Brad Wenstrup (OH-02),
C00489427,BLAINE PAC,Building Leadership And Inspiring New Enterprise PAC,Blaine Luetkemeyer (MO-03),
C00629832,B.O.S.T. PAC,Building Opportunities for a Stronger Tomorrow B.O.S.T PAC,Michael Bost (IL-12),
C00589994,BRIAN PAC,Building Renewal In America Now PAC,Brian Babin (TX-36),
C00672733,,Bulldog PAC,Jodey Arrington (TX-19),
C00817452,,C4 PAC,Connie Conway (former CA-22),
C00818740,,Call to Service PAC,Zach Nunn (IA-03),
C00770701,CAVU PAC,Ceiling and Visibility Unlimited (CAVU PAC),Scott Franklin (FL-18),
C00809574,,Central New York PAC,Brandon Williams (NY-22),
C00469429,CMR PAC,CMR Political Action Committee,Cathy McMorris Rodgers (WA-05),
C00345058,,Common Sense Common Solutions Political Action Committee,Kay Granger (TX-12),
C00481176,CAFO PAC,Concerned Americans for Freedom & Opportunity PAC (CAFO PAC),Adrian Smith (NE-03),
C00427401,CARTER PAC,Conservative & Republicans Together Equals Results PAC,John Carter (TX-31),
C00752287,,Conservative American Republican Leadership PAC,Jerry Carl (AL-01),
C00798025,,Conservative Leadership In Elections PAC,Ben Cline (VA-06),
C00404392,COLE PAC,Conservative Oppurtunity Leadership And Enterprise PAC (Cole PAC),Tom Cole (OK-04),
C00585893,,Conservative Promises PAC,Gary Palmer (AL-06),
C00691626,,Cut The Bull PAC,Carol Miller (WV-01),
C00688549,,Dakota Leadership PAC,Dusty Johnson (SD-At Large),
C00708172,,Dan-PA First PAC,Daniel Meuser (PA-09),
C00635219,DAVID PAC,DAVID PAC Delivering American Values In DC,David Kustoff (TN-08),
C00680405,DUNN PAC,Defend & Uphold Our Nation Now,Neal Dunn (FL-02),
